Description,ASIN,Product Description,Manufacturer
"PROFESSIONAL PHOTOGRAPHER’S DSLR & ACCESSORY CARRY BAG: Carry DSLR/SLR camera, lens, tripod, flash light & other accessories: This hiking camera backpack is 10”x6""x13” and yet lightweight, allows you to carry all kinds of equipment    100% MADE IN INDIA PRODUCT WITH DURABLE, WATER RESISTANT MATERIALS: This Product is Made-in India with high-quality water resistant nylon and polyester, durable metal zippers, this bag lets you carry your expensive equipment safely in all weathers    EXTERNAL BASE ZIPPER ENCLOSURE WITH WATERPROOF COVER, MESH POCKET & STRAP TO CARRY TRIPOD: The waterproof cover is located conveniently at the base zipper enclosure, at the event of rain, you don't have to open the bag, just unzip the base enclosure and pull out the cover. Adjustable Strap on one side can easily carry a tripod and mesh pocket is ideal to carry a water bottle.    ADJUSTABLE CUSTOMISABLE PADDED DIVIDERS WITH VARIOUS MESH POCKETS: You can make space according to your gear. Remove all the padded dividers if you want to use it as a regular backpack, just remove the dividers and carry your stuff. You can also carry cables, chargers, lens cleaners etc in the zipper mesh pockets.    TWICE CUSHINED SUPER QUALITY HANDLE: The best in class twice cushioned top handle provided maximum comfort while holding the bag from the handle.",B081Z1TVPQ,Not Mentioned,Unknown
"WR PU Coated Dobby Polyester. WR PU Coated 900D Oxford Polyester. Color: Grey    Water Resistance: Water resistant, Wheels included: No    Capacity: 22 liters; Dimensions: 38 cms x 24 cms x 24 cms (LxWxH)    Number of compartments: 1    Laptop Compatibility: No, Strap Type: Adjustable.    Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable. Valid for 1 year from the original date of purchase.",B075MMWRW6,One wide-access main compartments with double zippers. Two additional side pockets and one quick access pocket. Easily adjustable shoulder strap. Reinforced grab handle.,Gear
"Outer material: synthetic, color: Tan    Waterproof, Capacity: 27 liters; Weight: 600 grams; Dimensions: 48 cms x 33 cms x 18 cms (LxWxH)    Number of compartments: 2; Laptop compatibility: yes, laptop size: 16strap type: adjustable    Warranty type: Manufacturer; one year warranty against all manufacturing defects, workmanship, assistance during time of claim of warranty    Closure Type: Zipper; Special Features: Back Padding; Age Range Description: Adult; Pocket Description: Utility Pocket    Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .    Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",B07G4F3758,Not Mentioned,Gear
"Made with strong and premium 450D Polyester    Max padded 15.4"" Laptop compartment    Cool and stylish looks    Unique front quick access mesh pockets    Large front pocket for extra convenience",B0BP1QM6W5,"Made with strong and premium 450D Polyester Max padded 15.4"" Laptop compartment Cool and stylish looks Unique front quick access mesh pockets Large front pocket for extra convenience Available in smart colors",Backpack International Pvt Ltd
"PREMIUM MATERIAL: This multifunctional bag is made of quality Water Repellent polyester material in black color to protect your goods from water. For the inner lining, soft feel premium polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, and durable.     LARGE CAPACITY : Comes with 2 compartments with one separate cushioned laptop sleeve to hold 15. 6 inch Laptop. Additional front zipper pockets with an organiser to store magazine, pens, key,music, cosmetic, pen, charger, powerbank, cable etc. Side pockets for water bottles,umbrella. Back hidden anti theft pocket can hold your wallet,phone,etc     TROLLEY STRAP & CONVENIENCE : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on.     ONE YEAR WARRANTY: 1-year warranty on this bag against any manufacturing defects. Just keep your documents safe. Contact Red Lemon for any issues regarding the product and a resolution will be provided.; Lining texture: polyester     Pattern Name: Solid; Special Features: Laptop Compartment; Age Range Description: Adult",B0BGSV19KZ,Not Mentioned,
"PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want.    LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip.    EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag.    DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary.    BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you.",B09CV24TMK,Not Mentioned,Unknown
"Outer material: Synthetic, color: navy; Waterproof    Capacity: 28 liters; Weight: 600 grams; Dimensions: 48 cms x 33 cms x 18 cms (LxWxH)    Number of compartments: 2    Laptop compatibility: Yes, laptop size: 16strap type: adjustable    Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Closure Type: Zipper; Age Range Description: Adult; Special Features: Back Padding    Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",B07G4HH78P,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Gear Merchandise PVT LTD
"Made of multi-coated 600D polyester Material ; Water Repellent    Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters    Small Size backpack; Laptop Compatibility: No    This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more    With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books    6 months limited warranty",B088XG77KN,Not Mentioned,Unknown
Leather material purple colored sling bag    15.2 centimeters height x 21.5 centimeters length x 5.8 centimeters width    Zip closure with handle    2 compartments and 1 pocket    1 year domestic warranty against manufacturing defects,B07T97R1H1,"Designed beautifully, santorini sling bag come with a top zip closure, neat design, spacious compartments and trendy shoulder handles, this classic bag is ideal for an urbane and well-travelled women and will be a great and comfortable companion to work.",Isle Locada by Hidesign
"Wesley laptop bag professional series 15.6 inch    Laptop compartment with dual zippered access and thick foam padding, protects your laptop very well.    Made of top fabric, designed to be very lightweight and slim, but stylish, practical and durable.    Luggage strap which helps to easily fix the briefcase on handle of your trolley    Trendy look and design. Dimensions: 17 x12.5x3.5 inch",B0BJVDN7VT,Not Mentioned,Unknown
"Lavie Broxa sling is a stylish carry for women. It is trendy, light weight, spacious and available in beautiful multiple colors. The bag is beautifully crafted from premium man-made leather with latest saffiano texture & wavy stitch pattern at the front. The bag has a well-stitched inner lining for easy accessibility and storage.    Dimension: 21.5 cm in length X 9 cm in width X 15 cm in height    Broxa sling bag has a flat bottom to keep your essentials intact. Interior has 1 main compartment, with a flap closure on top for safety. Inside the bags there is 1 slip pocket alongside 1 zip pocket, providing space for keeping your phone, portable charger, coins, sanitizer etc. The bag also has adjustable sling strap to carry it in various ways, fastened with gold toned hardware.    This sling is perfect for ladies to carry for a weekend getaway or even a day at the mall for shopping. It can be paired with a playsuit, a basic crop top & jeans. This spacious and sturdy bag makes for a perfect gift for all your occasions",B08QTF8RPM,"Complete your modish look with this ultra-modern sling bag by Lavie - Featuring intricately geometric patterns, individual pockets to organize everyday essentials, and snap fastening for convenient security, this red piece has been designed to flaunt an alluring appeal. This sling bag is an ideal example of what today's fashionista deserves: a blend of trend and substance.",Bagzone Lifestyle Pvt Ltd
"Size - 25 x 15 x 13.5 cm. A large compartment and Mesh pockets to keep all personal belongings (Shaving Kit, Cosmetic, Shampoo, Facial Cleanser, Toothbrush, etc.) in one place; Suitable for personal Travel    Water-resistant material -- High Quality water-resistant fabric (durable and Lightweight); strong hanging hook, best zipper and high standard workmanship to ensure your toiletry bag.    Handy User-friendly design -- Main compartment features mesh pockets and main storage room for large item organize; Zippered front pocket adding extra storage    Easy to carry and hang -- A built-in strong hanging hook, easy to keep on towel racks, shower rods or on door knobs. Durable carrying handle convenient to carry or hung up.    Multiple Applications -- Ideal for vacation, business, gym, camping or outdoor activity.",B072MH8KBB,Not Mentioned,Unknown
"Size: 7""(H) x 4.3""(L) x 2.5""(W), perfect size to storage your napkin paper, lipsticks, mascara, coins, cards, keys, ect. Lightweight and easy to carry.    Top Quality Phone Purse & Fashionable: we offer multi-stylish printed small purse for women, fashion appearance, premium pu leather, firm double stitching edge, which owner durable polyester lining and upgraded zipper, sturdy, wear-resistant and not easy to be ripped. Improved zippers are smooth enough not to worry about stuck or separation issue.    Small Wallet Purse & Practical: cell phone crossbody purses come with 1 front phone pocket, 1 main zipper pocket, 1 bill compartment, 6 credit card slots, 2 clear ID window, large capacity can meet your daily needs, such as passport, credit cards, keys, lipsticks, headphones, tickets, cash and classify your personal small items.    Ideal Gifts Fit Most: small crossbody phone bag is a wonderful choice for shopping, dating, night out, travel,working when you do not want to take too much stuff. Meanwhile, we provide you additional gift cards which fit all kind of theme, such as birthdays, anniversaries, weddings, valentine's day, mother's day, Christmas and other special events, It's a best gift for womens, lady, girls, teenage,work mom etc",B09GYGRB56,"Spacious Cross-Body Bag   Small yet spacious enough to hold you cards, cash, ID cards and more.  



 Adjustable Straps   Has adjustable sling straps - lets you adjust the length according to need.  



 Sturdy Material   Made with good quality PU leather to offer a durability & long service life.",PALAY
"Care Instructions: Hand Wash Only    Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop     Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry     Front Organizer compartments for pens, keys, and cell phone     Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket",B078JVT384,"Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+",Cosmus
"Material: Nylon, Inner Material: Polyester, Capacity: 50 Liters, Color: Grey & Navy Blue, Special Features: Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap,     Water Resistant; 2 compartments and 6 pockets Backpack with glossy finis; Separate laptop compartment     Internal compartments with organizer pockets and internal divider for organization     Closure Type: Zipper Snap; Age Range Description: Adult     Compartment Description: Greater Than 17 Inches; Strap Type: Chain; Warranty Description: 1. Year Manufacturer Warranty; Pattern Name: Solid",B08BYQZYYC,"Material :   Nylon, Inner Material: Polyester  



 Capacity:   50 Liters  



 Color:   Navy Blue & Sky Blue",Unknown
"SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers, It comes with a 9 Month Warranty. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women    PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.    OTHER FEATURES: Strong and durable zippers, 9 Months Warranty, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",B085MHDJ93,Not Mentioned,Amazing Bags
"Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    Warranty type: Manufacturer; 12 months warranty against manufacturing defects",B01LXNNFDF,Not Mentioned,Backpack International Pvt Ltd
"Made of multi-coated 600D polyester Material ; Water Repellent    Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters    Small Size backpack; Laptop Compatibility: No    This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more    With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books    6 months limited warranty",B088XG77KN,Not Mentioned,Unknown
"Size - 25 x 15 x 13.5 cm. A large compartment and Mesh pockets to keep all personal belongings (Shaving Kit, Cosmetic, Shampoo, Facial Cleanser, Toothbrush, etc.) in one place; Suitable for personal Travel    Water-resistant material -- High Quality water-resistant fabric (durable and Lightweight); strong hanging hook, best zipper and high standard workmanship to ensure your toiletry bag.    Handy User-friendly design -- Main compartment features mesh pockets and main storage room for large item organize; Zippered front pocket adding extra storage    Easy to carry and hang -- A built-in strong hanging hook, easy to keep on towel racks, shower rods or on door knobs. Durable carrying handle convenient to carry or hung up.    Multiple Applications -- Ideal for vacation, business, gym, camping or outdoor activity.",B072MH8KBB,Not Mentioned,Unknown
"Capacity: 19 liters, Weight: 566gm     What’s new: Well-researched, upgraded fabric and hardware (zippers, rivets, gauge buttons) which is exclusively used to save you those extra bucks while maintaining the highest quality standards!! Light-weighted. Won’t add bulk and yet durable to sustain heavy weight.KEEP HOT WATER OR MILK WARM - Warm time of hot water or milk stored in the milk bottle pockets is 2 hours.     Pattern Name: Solid; Lining Description: Polyurethane; Age Range Description: Adult",B07PKQ3WJZ,"We have got all that parents require in MOTHERLY DIAPER BAGS: Our Quick Pack Diaper Backpack, as the name suggests, is an economical, travel-friendly, waterproof, lightweight, spacious, and easy to clean and handle moms’s baby care accessory that is a bargain to buy. 12 roomy pockets, 3 insulated milk bottle pockets (18 cm in length each), anti-theft mobile compartment, independent interior wet-dry separator for keeping wet & soiled clothes away from dry ones, fitted zipper closures, adjustable cushioned shoulder straps, front-back zipper openings for 2-way reachability, subtle and chic color combos are some of the many multi-utility benefits you are assisted with. Convenient hands-free usage with D-rings combined with an easy grab-top handle to make it a brilliant carry companion (as a tote/travel/regular diaper bag) and gifting option for the moms and moms-to-be(s) in your list. Take it out for a spin with effortless organizing and exclusive style without burning a hole in your pockets. Whether you are handling things solo or traveling with your peeps, Motherly Diaper Bags are bound to make a lifestyle statement among your friends and family!!!",Unknown
"Messenger Sling Bag Dimension: Length (Horizontal Distance) – 16.5cm, Height – 20.5cm, Width – 9cm. Small capacity but perfectly fits up to 10” Tablet.    Material: Leather Side Bag is Made of PU Leather with Zipper.    Crossbody Sling Bag Structure: A total of 4 pockets(1 Front side pocket,2 Main Pockets,1 Rear Zipper Pocket)    Ideal Application: Use this bag as a messenger Sling bag, shoulder bag, suitable for your office and business for everyday use.    Disclaimer: The product in image may appear bigger or smaller than the real product. kindly read the dimension and check with any scale available to you before placing order.",B08TR8RMNH,Not Mentioned,SaiTech IT Private Limited
"Care Instructions: Hand Wash Only    Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop     Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry     Front Organizer compartments for pens, keys, and cell phone     Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket",B078JVT384,"Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+",Cosmus
"Care Instructions: Machine Wash    Convenient – Our wet bags are great for carrying diapers, dirty gym clothes and wet swimsuits; not just for wet stuff - these bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more    Reuse And Reduce Waste – The better alternative to single-use plastic bags, our bags are made of Chic Buddys' original waterproof fabric that’s both soft and strong (although fabric is waterproof, bags are not completely leakproof due to zippered closure)    Waterproof – Chic Buddys’ original fabric is 100% polyester with embedded TPU for waterproofing and our heat-sealed seams keep the mess where it belongs - inside the bag    Lots Of Uses – Not just for wet stuff - these bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more! With a snap handle, snap your bag wherever you need it - stroller, changing table or suitcase    Easy-To-Clean – Wipe small messes; hand-wash or machine wash; to extend the life of fabric, we do recommend hang drying our quick-dry fabric; always ensure fabric is completely dry before storing",B0B2RKM6M8,"These bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more.  



 That’s why Chic Buddy is here. We want you to be able to see the big picture, and we want you to use Chic Buddy bags for all the things you might not have thought twice about before: dirty gym clothes, wet swimsuits, diapers, electronics and more!  



 These bags are perfect for carrying diapers, dirty gym clothes, and wet swimsuits they're not just for wet stuff. They make excellent organizers for toys, accessories, toiletries, electronics, travel and more.  



 Chic Buddys’ original fabric is 100% polyester with embedded TPU for waterproofing and our heat-sealed seams keep the mess where it belongs - inside the bag",
Both Professional and Stylish    Large zippered main compartment with laptop sleeve up to 17”.    Adjustable straps fit perfectly over the shoulders    Size-(LxHxW) Cm-(31x46x21) Cm    It Comes With the F Gear Promise of Quality,B071XJ6XV5,"If you have loads to carry around your search ends here. Here comes a bag which has three huge compartments. Designed keeping in mind the school children with loads of books apart from lunch boxes, water bottles and projects. This bag fits all. A very sturdy and strong bag comes with two bottle pouches and a stationery organizer. Laptop compartment also present. It can also be used as an overnight or a travel backpack for a few days. Comes with the F Gear promise of quality.",Uber Fashion Merchandise Pvt. Ltd.
"Capacity design: Can hold laptops of 15.6 inches and below. A main spacious packing room, and there are multiple pockets, pen pockets and compartments for small items at the front to keep your items organized and easier to find. An anti-theft pocket located inside the bag keeps your passport, wallet, phone and other valuable items safe and handy    Durable & comfortable: This classic college backpack is made of water-resistant, sturdy and tear-resistant oxford material, with double metal zippers. Comfortable airflow back design with thick but soft multi-panel ventilated padding gives you maximum back support. Lightweight structure and ergonomically shaped shoulder straps with two ""S"" adjustable breathable padding make carrying easy and comfortable    Function& Safe: External dimensions: A luggage strap allows backpack fit on luggage/suitcase, slide over the luggage upright handle tube for easier carrying. Internal shockproof belt for fastening your laptop and iPad, preventing them from sliding and bumping. With a hidden anti theft pocket inside the bag protect your valuable items from thieves. Well made for international airplane travel and day trip    Ideal Gift: This fashionable laptop backpack can be a great companion for travel, business, everyday use and outdoor activities. Also, a perfect college high school student backpack for boys, girls, teens. Practical gifts for teens, boys, girls, friends, mother, father, her or him.",B0BMQ4D59H,Laptop backpack,Unknown
"PREMIUM MATERIAL: This multifunctional bag is made of quality Water Repellent polyester material in black color to protect your goods from water. For the inner lining, soft feel premium polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, and durable.     LARGE CAPACITY : Comes with 2 compartments with one separate cushioned laptop sleeve to hold 15. 6 inch Laptop. Additional front zipper pockets with an organiser to store magazine, pens, key,music, cosmetic, pen, charger, powerbank, cable etc. Side pockets for water bottles,umbrella. Back hidden anti theft pocket can hold your wallet,phone,etc     TROLLEY STRAP & CONVENIENCE : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on.     ONE YEAR WARRANTY: 1-year warranty on this bag against any manufacturing defects. Just keep your documents safe. Contact Red Lemon for any issues regarding the product and a resolution will be provided.; Lining texture: polyester     Pattern Name: Solid; Special Features: Laptop Compartment; Age Range Description: Adult",B0BGSV19KZ,Not Mentioned,
"Made with strong and premium 450D Polyester    Max padded 15.4"" Laptop compartment    Cool and stylish looks    Unique front quick access mesh pockets    Large front pocket for extra convenience",B0BP1QM6W5,"Made with strong and premium 450D Polyester Max padded 15.4"" Laptop compartment Cool and stylish looks Unique front quick access mesh pockets Large front pocket for extra convenience Available in smart colors",Backpack International Pvt Ltd
"PREMIUM CRAFTSMANSHIP: Handmade by Professional Artisans, a Stylish messenger bag perfect for Office and Business professionals, students and travellers for Elite Class statement.    HIGH QUALITY MATERIAL: Made from Premium and Rich quality PU Leather Fabric with Durable Polyester lining.    ONE BAG FOUR STYLES: There are 4 different ways for using this laptop Messenegr bag. The adjustable shoulder strap could be easily adjusted to appropriate length to be a SHOULDER BAG or a CROSS-BODY BAG, the detachable designing of shoulder strap can be removed to make your bag as a business BRIEFCASE or a HANDBAG.    MULTIPLE COMPARTMENT: With 5 multi functional compartments, keep all your belongs well organized anytime. Additional laptop pocket with Thick Shock-Proof Foam Padding to protect upto 15.6 inches laptop. Dimension: 43* 34 * 8 cm .We are proud to say that this product is MADE IN INDIA!    GENUINE RUST FREE METAL HARDWARE: Messenger bag with solid and updated sturdy Rust Free hardware for zippers, buckles, closures and latches to ensure long lasting durability also this Product Comes with 2 years WARRANTY.",B09RK6NCGC,Not Mentioned,Trajectory Marketing LLP
Pigeon Breast Milk Storage Bag is convenient for working women who wish to continue the breast feeding for their babies    Pigeon Breast Milk Storage Bag comes with double protection with double zipper zeal    Pigeon Breast Milk Storage Bag is having hygeinic Storage and Pre Sterilized with Gamma Rays    Keep freshly pumped breastmilk till 24 hours    Easy to use in freezer & refrizerator both,B01M5DGMZ9,"PIGEON Your Breastfeeding Companion The milk you express for your baby is very precious, therefore it is very important to store it carefully and keep it well preserved. PIGEON's Breastmilk Storage Bags are pre-sterilized with gamma ray and are BPA-Free. It has a convenient pour spout for transferring breastmilk, a waterproof ""write-on"" tab for mothers and a unique double zipper seal for extra security. For ease of use, the storage bags are self-standing and milk can also be thawed easily by storing flat in the freezer.",Unknown
"Outer Material: Polyester, Inner Material: Fabric, Color: Grey    Laptop Compartment : No, No. of Compartment : 2, No.of Front Pocket : 2, No. of Bottle Pocket : 2    Warranty : 1 Year,Product Dimension : 34cm X 24cmX 49cm    Utility : School Backpack, College Backpack / Used For : Girls    School bags, casual backpacks, college backpacks, Kids Backpacks",B0849MZF6Q,The product will be an excellent pick for you. It ensures an easy maintenance.,High Spirit Commercial Ventures Pvt Ltd
"High-Quality Materials : Travel makeup pouch made of easy-to-clean PU leather fabric, special water-resistant surface to prevent internal products from getting wet.    PU Leather makeup bag function : Portable and Lightweight design with handle, Made of high-quality soft PU leather fabric, strong thickness make the bag more durable and easy to clean, special water-resistant surface to prevent internal products from getting wet.No need to worry about messy leaks when traveling.    Multifunctional storage makeup bags : This Make up Bags not only can storage your cosmetics, but also Jewelry, Electronic Accessories, Camera, Essential oil, Toiletries, Shaving Kit, glasses,Valuable objects and so on.    Convenient and Durable Handle : The zipper of the makeup travel bag opening design is reasonable,It's a easy to handle and very practical zipper pouch    Wonderful Gift : The travel makeup bag is perfect for daily use or travelling, it's a great gift for women and girls with the gift box on Mother's Day, Women's Day or Christmas .",B0BK922Y5N,Not Mentioned,XIVUMN
Leather material purple colored sling bag    15.2 centimeters height x 21.5 centimeters length x 5.8 centimeters width    Zip closure with handle    2 compartments and 1 pocket    1 year domestic warranty against manufacturing defects,B07T97R1H1,"Designed beautifully, santorini sling bag come with a top zip closure, neat design, spacious compartments and trendy shoulder handles, this classic bag is ideal for an urbane and well-travelled women and will be a great and comfortable companion to work.",Isle Locada by Hidesign
"Outer Material: Polyester, Inner Material: Polyester, Color: Navy Blue and Beige; Anti-sweat fabric on inner-side of shoulder straps    Wear Resistant: Wearproof, Water Resistance: waterproofDimensions: 32 cms x 18 cms x 47 cms (LxWxH)    Capacity: 26 liters, Weight: 0.534 Kg    Number of compartments: 3; Strap Type: Adjustable    Age Range Description: Adult; Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Closure Type: Zipper; Special Features: Back Padding",B00VWM11HQ,"Intuitively crafted at the Gear Design Studio to balance comfort, style, endurance and functionality. Gear is reckoned for delivering high quality accessories since its inception and has come up with innovation through the years. It is an ideal inclusion to your collection of bags as it is replete with features. Designed with excellence, it is made from high quality fabric. This backpack is long lasting, lightweight and water repellent as well.",Gear Merchandise PVT LTD
✅ Well cushioned Laptop compartment and spacious enough to carry for cloth    ✅ Breathable and adjustable shoulder straps relieve the stress of shoulder.    ✅ Made of Durable Dhurry Fabric with metal zippers. Ensure a secure & long-lasting usage everyday & weekend    ✅ Made From 100% Sustainable And Natural Materials.    ✅ This Bag Is Entirely Designed And Made In India Using Finest Quality Materials.,B09Z2G37YY,Not Mentioned,"Saav Tex Private Limited , Kundli, Sonipat (Haryana)"
"Care Instructions: Wipe with Dry Cloth    Outer Material: Polyester, Color: Black    Water resistant    Capacity: 16 liters; Weight: 180 grams; Dimensions: 42 cms x 28 cms x 14 cms (LxWxH)    Number of compartments: 1    Laptop Compatibility: NoStrap Type: Yes    Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchase",B08GY2ZN96,All Gear bag are manufactured from our self owned factories with specially trained manpower to ensure consistency in quality amd refined craftsmanship.,Gear
"Care Instructions: Hand Wash Only    Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop     Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry     Front Organizer compartments for pens, keys, and cell phone     Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket",B078JVT384,"Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+",Cosmus
"PRACTICAL AND ELEGANT:Made with Oxford Fabric, a stylish laptop bag for daily travel and short trips; Pocket Description: Utility Pocket; Age Range Description: Adult; Style Name: Travel Backpacks; Special Features: Laptop Compartment    Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Travel Backpacks    Water Resistance Level: Water Resistant; Compartment Description: Greater Than 17 Inches",B084LF4RT5,"Main Back Compartment   Thoughtfully designed spacious main compartment with dedicated space for Laptop, tablet and other important documents.  



 Main Front Compartment    Neatly designed main front compartment of the bag has dedicated space for books/notebooks/diary and brackets for pen to keep everything organized.  



 Spacious Outer Zippers   6 spacious outer zipper pockets ensure you have enough space and easy access to all your frequently needed items.",Unknown
